SECOND_FLD,review-count
12288_26997,0.0
12290_26986,3.0
12290_26991,1.0
12291_26987,43.0
12291_26988,361.0
12291_26989,3.0
12292_26989,0.0
12292_26990,10.0
12292_26993,0.0
12293_26992,13.0
12294_26995,118.0
12297_26998,51.0
12298_26993,0.0
12302_27006,0.0
12304_27006,1.0
12305_27011,0.0
12309_27011,0.0
12310_27010,0.0
12310_27011,0.0
12312_26993,0.0
12313_27019,0.0
12313_27020,0.0
12314_27019,0.0
12314_27020,0.0
12315_26995,0.0
12316_27001,0.0
12316_27021,0.0
12316_27022,0.0
12317_27000,27.0
12317_27023,0.0
12318_26991,0.0
12318_26992,0.0
12318_26998,1.0
12318_27000,40.0
12320_26983,0.0
12320_27024,0.0
12320_27026,0.0
12321_26976,2.0
12321_26977,0.0
12321_27025,0.0
12322_26973,56.0
12322_26974,29.0
12322_26977,3.0
12322_26978,7.0
12322_26993,34.0
12322_26994,0.0
12322_27002,0.0
12322_27046,6.0
12322_27047,1.0
12323_26966,0.0
12323_26971,0.0
12323_26972,10.0
12323_26983,6.0
12323_26984,82.0
12323_26996,7.0
12323_26997,0.0
12323_27045,2.0
12323_27046,10.0
12323_27047,10.0
12323_27048,1.0
12323_27049,0.0
12323_27050,0.0
12324_27002,0.0
12324_27004,0.0
12324_27045,0.0
12324_27047,0.0
12324_27049,0.0
12324_27051,0.0
12325_26990,5.0
12325_26991,0.0
12325_27002,0.0
12325_27003,0.0
12325_27005,5.0
12325_27021,1.0
12325_27040,0.0
12325_27045,0.0
12325_27047,10.0
12326_26964,2.0
12326_26966,18.0
12326_26968,239.0
12326_27002,1.0
12326_27003,0.0
12326_27004,11.0
12326_27005,20.0
12326_27006,0.0
12326_27048,0.0
12326_27049,0.0
12326_27054,53.0
12326_27055,90.0
12327_26958,11.0
12327_27002,0.0
12327_27003,14.0
12327_27004,0.0
12327_27005,2.0
12327_27006,20.0
12327_27022,0.0
12327_27045,0.0
12327_27052,12.0
12327_27054,5.0
12327_27055,283.0
12327_27057,2638.0
12327_27058,4318.0
12327_27071,108.0
12327_27072,44.0
12327_27074,5.0
12327_27076,46.0
