SECOND_FLD,grid_code
12284_26999,55.99494
12284_27000,74.64277000000001
12285_26998,30.814400000000003
12285_26999,383.2584200000001
12286_26999,7.2268
12287_26998,26.66299
12288_26998,103.90875
12288_26999,31.26183
12289_26994,79.795
12289_26995,3.23286
12290_26986,14.972249999999999
12290_26999,14.34892
12290_27000,45.24607
12291_26987,10.682970000000001
12291_26988,32.80393
12291_26989,17.37859
12291_26999,33.15531
12291_27000,32.91653
12292_26986,2.54553
12292_26988,8.645
12292_26989,21.57989
12293_26992,49.549600000000005
12293_26998,73.83705
12293_26999,28.652730000000002
12294_26995,112.59584000000001
12294_26998,15.17041
12294_26999,196.86337000000003
12295_26988,5.82039
12295_26998,55.992279999999994
12297_26998,874.4910700000003
12297_26999,13.2108
12298_26980,24.29424
12298_26981,24.51959
12298_26993,176.26277000000002
12298_26994,2.95115
12298_26995,60.27352
12298_26996,83.73722000000001
12298_26998,383.85422
12298_26999,24.9127
12299_26993,13.69364
12300_26979,53.546189999999996
12300_27000,14.61503
12300_27001,362.9597700000001
12300_27006,3.91721
12301_26979,224.74128
12301_27001,187.67839
12301_27002,183.47048
12301_27006,3.7146199999999996
12302_26979,8.50034
12302_26980,66.52074
12302_27001,26.688429999999997
12302_27002,76.70033000000001
12302_27003,49.19127
12302_27004,123.5273
12302_27005,28.99705
12302_27006,239.15953
12303_26980,11.146329999999999
12303_27003,54.13552999999999
12303_27004,100.22099
12303_27005,34.57075
12303_27006,640.8866800000002
12303_27007,8.59065
12304_26981,41.89125
12304_26982,3.4339
12304_26985,22.65952
12304_27005,39.85207
12304_27006,882.0788500000001
12304_27007,355.5302
12304_27011,39.28641
12304_27012,7.2355599999999995
12305_26981,12.17291
12305_26982,43.68501
12305_26990,2.79144
12305_27006,116.42908
12305_27007,43.92143
12305_27011,4.85801
12306_26980,2.73133
12306_26984,26.38776
12306_27008,6.6512899999999995
12306_27011,14.966359999999998
12306_27018,6.16052
12307_27008,15.146759999999999
12307_27009,163.18631000000002
12307_27010,39.711740000000006
12307_27015,6.46396
12308_27010,26.06454
12308_27011,61.30404
12308_27015,6.5147699999999995
12308_27016,4.2453
12308_27021,2.61095
12309_26986,147.35902
12309_26987,10.46138
12309_27003,3.1024
12309_27010,142.45426
12309_27011,308.32499
12309_27012,357.14680999999996
12309_27013,14.98781
12309_27014,8.68174
12309_27015,33.69667
12309_27016,89.01502999999998
12310_27008,100.04803999999999
12310_27009,695.5231999999997
12310_27010,1480.5735999999993
12310_27011,69.857
12310_27016,5.86089
12310_27017,8.69932
12311_26987,63.48313000000001
12311_27007,64.97679
12311_27008,97.78279
12311_27009,66.3232
12312_26993,3.2921400000000003
12312_27003,46.219359999999995
12312_27006,126.88852000000001
12312_27007,51.903879999999994
12312_27008,22.51576
12312_27022,84.74721
12312_27023,51.63896
12313_26990,10.795160000000001
12313_27004,50.342099999999995
12313_27015,10.1997
12313_27016,8.0086
12313_27020,10.902909999999999
12313_27021,170.35048000000003
12313_27023,115.78281999999999
12313_27024,112.08998000000001
12313_27025,25.592570000000002
12314_26977,168.36032999999998
12314_26978,122.1006
12314_26990,11.612240000000002
12314_26991,39.324290000000005
12314_27001,16.803559999999997
12314_27002,350.62382
12314_27003,40.03668
12314_27004,374.15344
12314_27006,6.26357
12314_27011,42.078160000000004
12314_27015,10.08669
12314_27020,78.86301
12314_27021,38.45988
12314_27024,8.620709999999999
12315_26977,34.334990000000005
12315_26978,8.91399
12315_26979,8.1766
12315_26980,95.46433999999999
12315_26982,14.86913
12315_26984,76.28966000000001
12315_26998,19.09953
12315_27000,6.91097
12315_27001,54.036519999999996
12315_27003,10.1004
12315_27006,6.1628
12315_27007,75.49847000000001
12315_27021,33.25531
12316_26982,218.35395
12316_26984,360.5770799999999
12316_26985,237.13150000000002
12316_26991,6.68942
12316_26992,148.12271
12316_27000,21.7463
12316_27001,96.81496
12316_27002,33.53352
12316_27003,5.8712800000000005
12316_27004,67.11558000000001
12316_27021,11.16612
12316_27022,51.73029999999999
12317_26984,134.72447000000003
12317_26985,442.61386000000005
12317_26999,487.18139999999994
12317_27000,2371.906400000001
12317_27001,338.82660000000004
12317_27007,9.12893
12317_27022,92.36069000000002
12317_27023,225.17372999999998
12317_27024,11.797979999999999
12318_26997,181.43223999999998
12318_26998,461.0784
12318_26999,169.85680000000002
12318_27000,143.9526
12318_27021,78.50583
12318_27022,16.467370000000003
12318_27023,5.825069999999999
12319_27000,11.8292
12319_27025,11.46398
12320_26983,204.53745999999995
12320_27025,11.859210000000001
12321_26973,10.8409
12321_26976,150.63510999999997
12321_26977,316.62384
12321_26978,15.83543
12321_26980,32.38705
12321_26983,149.12410999999997
12321_26984,80.66847
12321_26985,6.53927
12321_26993,298.9863
12321_26994,33.2461
12321_26997,8.775910000000001
12321_27001,70.8408
12321_27017,3.21424
12321_27025,11.57189
12321_27026,75.86131000000002
12322_26971,27.67878
12322_26972,239.14431999999996
12322_26973,1285.8501499999998
12322_26974,752.0062899999999
12322_26977,158.50625000000002
12322_26978,211.17189000000002
12322_26980,53.00451
12322_26981,7.79858
12322_26984,89.18939999999999
12322_26991,38.38548
12322_26992,11.4503
12322_26993,1030.0765
12322_26994,869.8109999999996
12322_26995,10.3272
12322_26996,18.93754
12322_26997,185.6202
12322_27001,39.33406
12322_27002,14.3758
